device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
74DA38C7CEC8,,,,,29.054752,,18.824825,,,,
74DA38C7CECA,,,,,36.261368,25.272727272727,29.192755,,,,
74DA38C7CED4,,,,,49.896385,32.769230769231,39.065056,,,,
74DA38C7CED6,,,,,38.26019,30.5,31.563555,,,,
74DA38C7CED8,,,,,39.446167,31.727272727273,32.53133,,,,
74DA38C7CEDC,,,,,23.361107,,18.853363,,,,
74DA38C7CEE2,,,,,26.532711,24.0,19.173878,,,,
74DA38C7CEEA,,,,,49.51529,32.230769230769,37.84406,,,,
74DA38C7CF3C,,,,,32.111717,38.769230769231,33.32963,,,,
74DA38C7CF40,,,,,42.4434,28.583333333333,32.084297,,,,
74DA38C7CF42,,,,,58.336014,53.363636363636,61.96513,,,,
74DA38C7CF46,,,,,21.782648,17.916666666667,20.139872,,,,
74DA38C7CF4C,,,,,38.90413,43.692307692308,39.52503,,,,
74DA38C7CF50,,,,,48.77904,32.166666666667,39.021072,,,,
74DA38C7CF9C,,,,,25.332872,6.166666666667,15.217579,,,,
74DA38C7CFA8,,,,,23.406223,24.583333333333,17.925785,,,,
74DA38C7CFB6,,,,,31.518457,29.692307692308,27.62497,,,,
74DA38C7CFBE,,,,,27.1768,,18.287685,,,,
74DA38C7CFCE,,,,,20.931398,14.666666666667,16.051584,,,,
74DA38C7CFD4,,,,,26.382399,22.461538461538,23.268433,,,,
74DA38C7CFE6,,,,,32.31143,,34.419456,,,,
74DA38C7CFE8,,,,,55.216595,52.0,57.35953,,,,
74DA38C7CFEE,,,,,35.304585,,38.473007,,,,
74DA38C7CFF0,,,,,62.01146,52.75,64.38107,,,,
74DA38C7D00C,,,,,23.475494,29.153846153846,21.549322,,,,
74DA38C7D0B6,,,,,33.77099,21.416666666667,28.382137,,,,
74DA38C7D0E8,,,,,55.80809,51.545454545455,57.413616,,,,
74DA38C7D0FA,,,,,36.036755,46.363636363636,37.732937,,,,
74DA38C7D0FC,,,,,30.757772,,30.769854,,,,
74DA38C7D180,,,,,22.561806,,17.603891,,,,
74DA38C7D194,,,,,39.215023,26.0,29.788954,,,,
74DA38C7D198,,,,,33.77654,25.583333333333,28.473164,,,,
74DA38C7D19A,,,,,28.97962,20.75,22.870207,,,,
74DA38C7D1E6,,,,,31.840757,40.5,33.184498,,,,
74DA38C7D3A0,,,,,35.16997,23.307692307692,29.207853,,,,
74DA38C7D3AA,,,,,30.311638,,25.795416,,,,
74DA38C7D3C8,,,,,33.483776,23.818181818182,24.905642,,,,
74DA38C7D3E4,,,,,23.88362,34.909090909091,25.770054,,,,
74DA38C7D40C,,,,,31.125929,29.461538461538,26.85931,,,,
74DA38C7D41C,,,,,25.458733,36.181818181818,26.214127,,,,
74DA38C7D466,,,,,28.402803,37.166666666667,30.95644,,,,
74DA38C7D468,,,,,15.568757,19.333333333333,15.0406,,,,
74DA38C7D478,,,,,21.190067,39.846153846154,21.405228,,,,
74DA38C7D4FA,,,,,23.745113,,24.412651,,,,
74DA38C7D4FE,,,,,38.825825,47.727272727273,39.876343,,,,
74DA38C7D502,,,,,21.646778,,23.03097,,,,
74DA38C7D596,,,,,50.72991,47.090909090909,51.77079,,,,
74DA38E2B484,,,,,12.524892,34.615384615385,12.556962,,,,
74DA38E2B48A,,,,,17.232506,,14.594739,,,,
74DA38E2B494,,,,,16.624397,8.153846153846,13.791737,,,,
74DA38E2B4A2,,,,,20.688978,,17.287312,,,,
74DA38E2B4AA,,,,,24.516544,18.75,20.437565,,,,
74DA38E2B4D0,,,,,12.337069,15.583333333333,12.750326,,,,
74DA38E2B4EE,,,,,27.623335,,28.080532,,,,
74DA38E2B4F4,,,,,18.135292,,17.094349,,,,
74DA38E2B4FC,,,,,39.74235,28.153846153846,33.650063,,,,
74DA38E2B508,,,,,29.26325,,21.293621,,,,
74DA38E2B50A,,,,,20.891972,,18.481,,,,
74DA38E2B50E,,,,,19.000868,,16.805174,,,,
74DA38E2B516,,,,,45.79752,25.181818181818,34.422802,,,,
74DA38E2B51A,,,,,12.070944,,13.121436,,,,
74DA38E2B51C,,,,,23.849134,,22.349152,,,,
74DA38E2B520,,,,,52.607246,30.307692307692,44.279305,,,,
74DA38E2B522,,,,,62.684296,54.923076923077,64.4159,,,,
